                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 1.1446,                0.55553,                 1.0912,                 0.9075,                0.87263,                0.93129,                0.60722,                 1.2753,                0.56557,                 1.1826,              0.0086536,              0.0086536,              0.0086536
                     36,                 1.1522,                0.55447,                 1.0794,                0.90997,                0.87893,                 0.9315,                0.60833,                 1.2889,                0.56326,                 1.1889,               0.008614,               0.008614,               0.008614
                     37,                 1.1444,                0.54945,                 1.0879,                0.90953,                0.88978,                0.94021,                 0.6126,                 1.2689,                0.55398,                 1.1977,              0.0085744,              0.0085744,              0.0085744
                     38,                 1.1476,                0.55375,                  1.093,                0.91267,                0.88254,                0.93524,                0.60421,                 1.2904,                0.56563,                 1.1981,              0.0085348,              0.0085348,              0.0085348
                     39,                 1.1177,                0.53415,                 1.0858,                0.91657,                0.88411,                0.93625,                 0.6073,                 1.2803,                0.55182,                 1.2133,              0.0084952,              0.0084952,              0.0084952
                     40,                 1.1281,                0.53905,                 1.0959,                0.90905,                0.89217,                0.93479,                0.60597,                  1.285,                0.55044,                 1.2182,              0.0084556,              0.0084556,              0.0084556
                     41,                 1.1126,                0.53353,                 1.0966,                0.91269,                0.87412,                0.92784,                 0.6106,                 1.2722,                0.57983,                 1.2223,               0.008416,               0.008416,               0.008416
                     42,                  1.106,                0.52185,                 1.0919,                0.90971,                0.88565,                0.93542,                0.60703,                 1.2783,                0.55579,                 1.2159,              0.0083764,              0.0083764,              0.0083764
                     43,                  1.115,                0.53469,                 1.0922,                0.90786,                0.88779,                0.92986,                0.60881,                 1.2815,                0.55654,                 1.2106,              0.0083368,              0.0083368,              0.0083368
                     44,                 1.1097,                0.52219,                 1.0831,                 0.9167,                0.88529,                0.93341,                 0.6083,                 1.2843,                0.54991,                 1.2202,              0.0082972,              0.0082972,              0.0082972
                     45,                 1.0994,                0.52113,                 1.0814,                0.90848,                0.89173,                0.93572,                0.61177,                 1.2823,                0.54542,                 1.2133,              0.0082576,              0.0082576,              0.0082576
                     46,                 1.0982,                0.52223,                 1.0858,                0.91059,                0.88146,                0.93655,                0.61007,                 1.2795,                0.55136,                 1.2162,               0.008218,               0.008218,               0.008218
                     47,                 1.1023,                0.51802,                 1.0753,                0.92955,                0.85834,                0.92961,                0.60586,                 1.2878,                0.55875,                 1.2195,              0.0081784,              0.0081784,              0.0081784
                     48,                 1.0856,                 0.5069,                 1.0752,                0.92297,                0.87551,                0.93124,                0.60784,                 1.2756,                0.55939,                 1.2196,              0.0081388,              0.0081388,              0.0081388
                     49,                 1.0846,                0.51806,                  1.077,                0.90918,                0.88191,                0.93433,                0.60975,                 1.2805,                0.54505,                 1.2311,              0.0080992,              0.0080992,              0.0080992
                     50,                 1.0821,                0.50879,                 1.0793,                0.92342,                0.87915,                0.93343,                0.60793,                 1.2801,                0.55426,                 1.2429,              0.0080596,              0.0080596,              0.0080596
                     51,                 1.0699,                0.50444,                 1.0773,                0.91987,                0.89004,                0.93664,                0.61407,                  1.281,                0.54273,                 1.2192,                0.00802,                0.00802,                0.00802
                     52,                 1.0597,                0.50033,                 1.0801,                0.92507,                0.87243,                0.93556,                0.61394,                 1.2911,                0.55657,                 1.2434,              0.0079804,              0.0079804,              0.0079804
                     53,                 1.0723,                0.50573,                 1.0736,                0.91682,                0.88189,                0.93183,                0.60596,                 1.2922,                0.54638,                 1.2234,              0.0079408,              0.0079408,              0.0079408
                     54,                 1.0582,                0.49358,                 1.0674,                0.91757,                0.89009,                0.94025,                0.61338,                 1.2869,                0.53119,                 1.2285,              0.0079012,              0.0079012,              0.0079012
                     55,                 1.0416,                0.48348,                 1.0622,                0.92321,                0.88177,                0.93742,                0.61371,                 1.2829,                0.54699,                 1.2498,              0.0078616,              0.0078616,              0.0078616
                     56,                 1.0546,                0.49666,                 1.0813,                0.91984,                0.88545,                0.93259,                0.60758,                 1.2867,                0.54443,                 1.2555,               0.007822,               0.007822,               0.007822
                     57,                 1.0512,                0.49291,                 1.0678,                0.91535,                0.89422,                0.93664,                0.61429,                 1.2797,                 0.5337,                 1.2425,              0.0077824,              0.0077824,              0.0077824
                     58,                 1.0332,                0.48472,                 1.0529,                0.92875,                0.87948,                0.93697,                0.61394,                 1.2778,                0.53284,                 1.2159,              0.0077428,              0.0077428,              0.0077428
                     59,                 1.0342,                 0.4811,                 1.0561,                0.92164,                 0.8778,                0.93345,                0.61581,                 1.2711,                0.53915,                 1.2306,              0.0077032,              0.0077032,              0.0077032
                     60,                 1.0313,                0.47856,                 1.0642,                0.92411,                0.87496,                0.93271,                0.61235,                 1.2793,                 0.5408,                 1.2382,              0.0076636,              0.0076636,              0.0076636
                     61,                 1.0116,                0.47274,                 1.0455,                0.92738,                0.87215,                0.93361,                0.61641,                  1.277,                0.53438,                 1.2242,               0.007624,               0.007624,               0.007624
                     62,                 1.0175,                0.47462,                 1.0434,                0.91882,                0.87915,                0.93868,                0.61946,                 1.2755,                0.54007,                 1.2297,              0.0075844,              0.0075844,              0.0075844
                     63,                  1.014,                0.46664,                  1.048,                0.92729,                 0.8709,                0.93372,                0.61449,                 1.2763,                0.53809,                 1.2443,              0.0075448,              0.0075448,              0.0075448
                     64,                 1.0102,                0.47538,                 1.0479,                0.91869,                 0.8811,                0.93192,                0.61363,                 1.2855,                0.53737,                 1.2504,              0.0075052,              0.0075052,              0.0075052
                     65,                  1.013,                0.46797,                  1.055,                0.92015,                0.88222,                0.93487,                0.61797,                 1.2798,                0.54373,                 1.2578,              0.0074656,              0.0074656,              0.0074656
                     66,                0.99795,                0.46951,                 1.0429,                  0.905,                0.89299,                0.93192,                0.61542,                 1.2813,                0.53819,                 1.2331,               0.007426,               0.007426,               0.007426
                     67,                0.98734,                0.46135,                 1.0361,                0.92803,                0.88249,                0.93695,                0.61771,                 1.2746,                0.52933,                 1.2411,              0.0073864,              0.0073864,              0.0073864
